inter,comm
44417,0
44417,0
19623,0
19623,0
19623,0
19623,0
19623,0
19623,0
19623,0
19623,0
19623,0
19623,0
19386,0
19386,0
19386,0
19386,0
19386,0
19386,0
19386,0
19386,0
19386,0
19386,0
19386,0
19386,0
19386,0
44015,0
44015,0
44015,0
44015,0
42377,0
42377,0
42377,0
42377,0
42377,0
42377,0
42377,0
42377,0
42377,0
42377,0
24294,0
24294,0
24294,0
24294,0
18245,0
18245,0
18245,0
18245,0
18245,0
18245,0
42670,0
42670,0
42670,0
42670,0
42670,0
42670,0
42670,0
42670,0
42670,0
42670,0
42670,0
42670,0
30875,0
30875,0
30875,0
30875,0
30875,0
30875,0
35762,0
35762,0
35762,0
35762,0
35762,0
35762,0
34440,0
34440,0
7072,0
7072,0
7072,0
7072,0
7072,0
7072,0
7072,0
7072,0
7072,0
7072,0
7072,0
7072,0
7072,0
7147,0
7147,0
7147,0
7147,0
11496,0
11496,0
11496,0
31081,0
31081,0
31081,0
31081,0
31081,0
31081,0
31081,0
31081,0
31081,0
5881,0
5881,0
39286,0
39286,0
39286,0
39286,0
39060,0
39060,0
34203,0
34203,0
34203,0
34203,0
34203,0
34203,0
34203,0
34203,0
34203,0
34203,0
14085,0
14085,0
14085,0
14085,0
14085,0
14085,0
14085,0
9433,0
9433,0
9433,0
9433,0
29088,0
29088,0
29088,0
29088,0
29088,0
29088,0
29088,0
37212,0
37212,0
37212,0
37212,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
28859,0
37899,0
37899,0
37899,0
37899,0
37676,0
37676,0
37676,0
37676,0
45347,0
45347,0
45347,0
45347,0
45347,0
20685,0
11296,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
9154,0
39345,0
39345,0
28732,0
28732,0
11117,0
21616,0
21616,0
21616,0
19739,0
3856,0
25683,0
25683,0
25683,0
25683,0
25683,0
25683,0
25683,0
1923,0
43696,0
43696,0
43696,0
43696,0
43696,0
1996,0
23445,0
23445,0
23445,0
23445,0
23445,0
23457,0
23457,0
23457,0
23457,0
23457,0
23457,0
23457,0
23457,0
23457,0
24627,0
24627,0
24627,0
24299,0
24299,0
24299,0
24299,0
24299,0
24299,0
24299,0
24299,0
41956,0
41956,0
41956,0
41874,0
41874,0
41874,0
41874,0
41874,0
41991,0
41991,0
41991,0
41991,0
41991,0
41991,0
41991,0
41991,0
41991,0
